result,stdev,iterations,regulation,learnrate
1.27507,0.4,20,0.200000,0.0056
1.28606,0.4,20,0.200000,0.0061
1.28702,0.4,20,0.200000,0.0066
1.28176,0.4,20,0.200000,0.0071
1.29581,0.4,20,0.200000,0.0076
1.30597,0.4,20,0.200000,0.0081
1.30555,0.4,20,0.200000,0.0086
1.30997,0.4,20,0.200000,0.0091
1.31618,0.4,20,0.200000,0.0096
1.68515,0.4,20,0.400000,0.0001
1.31264,0.4,20,0.400000,0.0006
1.29109,0.4,20,0.400000,0.0011
1.30062,0.4,20,0.400000,0.0016
1.30451,0.4,20,0.400000,0.0021
1.30862,0.4,20,0.400000,0.0026
1.31716,0.4,20,0.400000,0.0031
1.31916,0.4,20,0.400000,0.0036
1.32711,0.4,20,0.400000,0.0041
1.33335,0.4,20,0.400000,0.0046
1.33371,0.4,20,0.400000,0.0051
1.33915,0.4,20,0.400000,0.0056
1.34394,0.4,20,0.400000,0.0061
1.34933,0.4,20,0.400000,0.0066
1.3536,0.4,20,0.400000,0.0071
1.35992,0.4,20,0.400000,0.0076
1.36461,0.4,20,0.400000,0.0081
1.36971,0.4,20,0.400000,0.0086
1.37362,0.4,20,0.400000,0.0091
1.37981,0.4,20,0.400000,0.0096
1.84194,0.4,20,0.600000,0.0001
1.33818,0.4,20,0.600000,0.0006
1.33328,0.4,20,0.600000,0.0011
1.34211,0.4,20,0.600000,0.0016
1.34993,0.4,20,0.600000,0.0021
1.35883,0.4,20,0.600000,0.0026
1.36444,0.4,20,0.600000,0.0031
1.37012,0.4,20,0.600000,0.0036
1.37683,0.4,20,0.600000,0.0041
1.38151,0.4,20,0.600000,0.0046
1.38643,0.4,20,0.600000,0.0051
1.39167,0.4,20,0.600000,0.0056
1.39629,0.4,20,0.600000,0.0061
1.40088,0.4,20,0.600000,0.0066
1.40505,0.4,20,0.600000,0.0071
1.40953,0.4,20,0.600000,0.0076
1.41346,0.4,20,0.600000,0.0081
1.41766,0.4,20,0.600000,0.0086
1.42168,0.4,20,0.600000,0.0091
1.42612,0.4,20,0.600000,0.0096
1.90957,0.4,20,0.800000,0.0001
1.37549,0.4,20,0.800000,0.0006
1.37332,0.4,20,0.800000,0.0011
1.38271,0.4,20,0.800000,0.0016
1.39,0.4,20,0.800000,0.0021
1.39759,0.4,20,0.800000,0.0026
1.40392,0.4,20,0.800000,0.0031
1.40923,0.4,20,0.800000,0.0036
1.41477,0.4,20,0.800000,0.0041
1.41888,0.4,20,0.800000,0.0046
1.42339,0.4,20,0.800000,0.0051
1.42728,0.4,20,0.800000,0.0056
1.43135,0.4,20,0.800000,0.0061
1.43521,0.4,20,0.800000,0.0066
1.43908,0.4,20,0.800000,0.0071
1.44286,0.4,20,0.800000,0.0076
1.44658,0.4,20,0.800000,0.0081
