result,stdev,iterations,regulation,learnrate
1.27324,0.8,200,0.600000,0
1.26296,0.8,200,0.800000,0
1.25977,0.8,200,1.000000,0
1.28058,1,200,0.000000,0
1.2642,1,200,0.200000,0
1.25484,1,200,0.400000,0
1.26412,1,200,0.600000,0
1.24787,1,200,0.800000,0
1.2439,1,200,1.000000,0
1.26658,0,220,0.000000,0
1.26656,0,220,0.200000,0
1.26654,0,220,0.400000,0
1.26653,0,220,0.600000,0
1.26652,0,220,0.800000,0
1.26652,0,220,1.000000,0
1.32504,0.2,220,0.000000,0
1.28947,0.2,220,0.200000,0
1.2811,0.2,220,0.400000,0
1.26876,0.2,220,0.600000,0
1.2619,0.2,220,0.800000,0
1.25899,0.2,220,1.000000,0
1.31052,0.4,220,0.000000,0
1.28569,0.4,220,0.200000,0
1.28028,0.4,220,0.400000,0
1.26939,0.4,220,0.600000,0
1.27358,0.4,220,0.800000,0
1.26016,0.4,220,1.000000,0
1.30129,0.6,220,0.000000,0
1.28665,0.6,220,0.200000,0
1.28151,0.6,220,0.400000,0
1.26828,0.6,220,0.600000,0
1.26188,0.6,220,0.800000,0
1.26118,0.6,220,1.000000,0
1.29777,0.8,220,0.000000,0
1.2752,0.8,220,0.200000,0
1.27041,0.8,220,0.400000,0
1.26417,0.8,220,0.600000,0
1.2635,0.8,220,0.800000,0
1.2618,0.8,220,1.000000,0
1.28819,1,220,0.000000,0
1.2631,1,220,0.200000,0
1.26634,1,220,0.400000,0
1.25606,1,220,0.600000,0
1.25326,1,220,0.800000,0
1.2461,1,220,1.000000,0
1.26658,0,240,0.000000,0
1.26656,0,240,0.200000,0
1.26654,0,240,0.400000,0
1.26653,0,240,0.600000,0
1.26652,0,240,0.800000,0
1.26652,0,240,1.000000,0
1.32097,0.2,240,0.000000,0
1.28676,0.2,240,0.200000,0
1.27451,0.2,240,0.400000,0
1.27826,0.2,240,0.600000,0
1.26777,0.2,240,0.800000,0
1.26081,0.2,240,1.000000,0
1.32533,0.4,240,0.000000,0
1.30105,0.4,240,0.200000,0
1.28653,0.4,240,0.400000,0
1.27708,0.4,240,0.600000,0
1.2667,0.4,240,0.800000,0
1.25989,0.4,240,1.000000,0
1.30537,0.6,240,0.000000,0
1.28504,0.6,240,0.200000,0
1.28587,0.6,240,0.400000,0
1.27249,0.6,240,0.600000,0
1.27175,0.6,240,0.800000,0
1.26068,0.6,240,1.000000,0
1.29645,0.8,240,0.000000,0
1.28284,0.8,240,0.200000,0
1.28135,0.8,240,0.400000,0
1.26232,0.8,240,0.600000,0
1.26853,0.8,240,0.800000,0
1.25483,0.8,240,1.000000,0
1.28551,1,240,0.000000,0
1.26351,1,240,0.200000,0
1.25701,1,240,0.400000,0
1.25792,1,240,0.600000,0
1.24477,1,240,0.800000,0
1.2485,1,240,1.000000,0
1.26658,0,260,0.000000,0
1.26656,0,260,0.200000,0
1.26654,0,260,0.400000,0
1.26653,0,260,0.600000,0
1.26652,0,260,0.800000,0
1.26652,0,260,1.000000,0
1.31642,0.2,260,0.000000,0
1.29958,0.2,260,0.200000,0
1.28436,0.2,260,0.400000,0
1.2779,0.2,260,0.600000,0
1.26801,0.2,260,0.800000,0
1.26375,0.2,260,1.000000,0
1.31012,0.4,260,0.000000,0
1.28678,0.4,260,0.200000,0
1.27776,0.4,260,0.400000,0
1.27787,0.4,260,0.600000,0
1.26622,0.4,260,0.800000,0
1.26321,0.4,260,1.000000,0
1.29839,0.6,260,0.000000,0
1.28563,0.6,260,0.200000,0
1.2792,0.6,260,0.400000,0
1.26846,0.6,260,0.600000,0
1.26789,0.6,260,0.800000,0
1.2597,0.6,260,1.000000,0
1.30062,0.8,260,0.000000,0
1.26311,0.8,260,0.200000,0
1.27775,0.8,260,0.400000,0
1.26143,0.8,260,0.600000,0
1.26906,0.8,260,0.800000,0
1.27198,0.8,260,1.000000,0
1.27791,1,260,0.000000,0
1.26754,1,260,0.200000,0
