result|stdev|iterations|regulation|learnrate
1.27676|0.2|20|0.200000|0.0056
1.28015|0.2|20|0.200000|0.0061
1.29265|0.2|20|0.200000|0.0066
1.37001|0|200|0.200000|0.0056
1.2928|0.2|20|0.200000|0.0071
1.35528|0|280|0.200000|0.0011
1.29091|0.2|20|0.200000|0.0076
1.30813|0.2|20|0.200000|0.0081
1.31148|0.2|20|0.200000|0.0086
1.27129|0|340|0.000000|0.0096
1.31336|0.2|20|0.200000|0.0091
1.37098|0|200|0.200000|0.0061
1.31591|0.2|20|0.200000|0.0096
1.35887|0|280|0.200000|0.0016
1.69691|0.2|20|0.400000|0.0001
1.29168|0.2|20|0.400000|0.0006
1.28109|0.2|20|0.400000|0.0011
1.37178|0|200|0.200000|0.0066
1.29248|0.2|20|0.400000|0.0016
1.29905|0.2|20|0.400000|0.0021
1.30604|0.2|20|0.400000|0.0026
1.3173|0.2|20|0.400000|0.0031
1.36048|0|280|0.200000|0.0021
1.37242|0|200|0.200000|0.0071
1.31951|0.2|20|0.400000|0.0036
1.32295|0.2|20|0.400000|0.0041
1.33056|0.2|20|0.400000|0.0046
1.334|0.2|20|0.400000|0.0051
1.3379|0.2|20|0.400000|0.0056
1.37294|0|200|0.200000|0.0076
1.34437|0.2|20|0.400000|0.0061
1.36177|0|280|0.200000|0.0026
1.34999|0.2|20|0.400000|0.0066
1.35536|0.2|20|0.400000|0.0071
1.34001|0|340|0.200000|0.0001
1.35853|0.2|20|0.400000|0.0076
1.36375|0.2|20|0.400000|0.0081
1.37336|0|200|0.200000|0.0081
1.36884|0.2|20|0.400000|0.0086
1.37323|0.2|20|0.400000|0.0091
1.36317|0|280|0.200000|0.0031
1.37779|0.2|20|0.400000|0.0096
1.37369|0|200|0.200000|0.0086
1.81808|0.2|20|0.600000|0.0001
1.34525|0|340|0.200000|0.0006
1.32753|0.2|20|0.600000|0.0006
1.32308|0.2|20|0.600000|0.0011
1.33244|0.2|20|0.600000|0.0016
1.34174|0.2|20|0.600000|0.0021
1.36466|0|280|0.200000|0.0036
1.37396|0|200|0.200000|0.0091
1.35102|0.2|20|0.600000|0.0026
1.35964|0.2|20|0.600000|0.0031
1.3665|0.2|20|0.600000|0.0036
1.35534|0|340|0.200000|0.0011
1.37232|0.2|20|0.600000|0.0041
1.37417|0|200|0.200000|0.0096
1.37815|0.2|20|0.600000|0.0046
1.38401|0.2|20|0.600000|0.0051
1.36616|0|280|0.200000|0.0041
1.38937|0.2|20|0.600000|0.0056
1.39391|0.2|20|0.600000|0.0061
1.39904|0.2|20|0.600000|0.0066
1.403|0.2|20|0.600000|0.0071
1.40725|0.2|20|0.600000|0.0076
1.35888|0|340|0.200000|0.0016
1.41169|0.2|20|0.600000|0.0081
1.36756|0|280|0.200000|0.0046
1.41527|0.2|20|0.600000|0.0086
1.41934|0.2|20|0.600000|0.0091
1.42292|0.2|20|0.600000|0.0096
1.47526|0|200|0.400000|0.0001
1.99229|0.2|20|0.800000|0.0001
1.36092|0.2|20|0.800000|0.0006
1.36886|0|280|0.200000|0.0051
1.36329|0.2|20|0.800000|0.0011
1.36048|0|340|0.200000|0.0021
1.37279|0.2|20|0.800000|0.0016
1.48313|0|200|0.400000|0.0006
1.38139|0.2|20|0.800000|0.0021
1.38982|0.2|20|0.800000|0.0026
1.39729|0.2|20|0.800000|0.0031
1.40372|0.2|20|0.800000|0.0036
1.37001|0|280|0.200000|0.0056
1.4898|0|200|0.400000|0.0011
1.40967|0.2|20|0.800000|0.0041
1.41499|0.2|20|0.800000|0.0046
1.36177|0|340|0.200000|0.0026
1.42004|0.2|20|0.800000|0.0051
1.42474|0.2|20|0.800000|0.0056
1.42924|0.2|20|0.800000|0.0061
1.49267|0|200|0.400000|0.0016
1.43341|0.2|20|0.800000|0.0066
1.37098|0|280|0.200000|0.0061
1.43741|0.2|20|0.800000|0.0071
1.44123|0.2|20|0.800000|0.0076
1.44494|0.2|20|0.800000|0.0081
1.49585|0|200|0.400000|0.0021
1.36317|0|340|0.200000|0.0031
1.4485|0.2|20|0.800000|0.0086
1.45192|0.2|20|0.800000|0.0091
1.45523|0.2|20|0.800000|0.0096
1.37178|0|280|0.200000|0.0066
2.08158|0.2|20|1.000000|0.0001
1.499|0|200|0.400000|0.0026
1.40346|0.2|20|1.000000|0.0006
1.40497|0.2|20|1.000000|0.0011
1.41424|0.2|20|1.000000|0.0016
1.36466|0|340|0.200000|0.0036
1.42317|0.2|20|1.000000|0.0021
1.50163|0|200|0.400000|0.0031
1.4311|0.2|20|1.000000|0.0026
1.37242|0|280|0.200000|0.0071
1.43803|0.2|20|1.000000|0.0031
1.44407|0.2|20|1.000000|0.0036
1.44956|0.2|20|1.000000|0.0041
1.45448|0.2|20|1.000000|0.0046
1.50356|0|200|0.400000|0.0036
1.45904|0.2|20|1.000000|0.0051
1.36616|0|340|0.200000|0.0041
1.46326|0.2|20|1.000000|0.0056
1.37294|0|280|0.200000|0.0076
1.46726|0.2|20|1.000000|0.0061
1.47103|0.2|20|1.000000|0.0066
1.47465|0.2|20|1.000000|0.0071
1.50479|0|200|0.400000|0.0041
1.47811|0.2|20|1.000000|0.0076
1.48147|0.2|20|1.000000|0.0081
1.48475|0.2|20|1.000000|0.0086
1.37336|0|280|0.200000|0.0081
1.48794|0.2|20|1.000000|0.0091
1.36756|0|340|0.200000|0.0046
1.50541|0|200|0.400000|0.0046
1.49106|0.2|20|1.000000|0.0096
1.38752|0.4|20|0.000000|0.0001
1.28612|0.4|20|0.000000|0.0006
1.50553|0|200|0.400000|0.0051
1.37369|0|280|0.200000|0.0086
1.26907|0.4|20|0.000000|0.0011
1.25471|0.4|20|0.000000|0.0016
1.36886|0|340|0.200000|0.0051
1.24498|0.4|20|0.000000|0.0021
1.25677|0.4|20|0.000000|0.0026
1.50527|0|200|0.400000|0.0056
1.25042|0.4|20|0.000000|0.0031
1.24273|0.4|20|0.000000|0.0036
1.37396|0|280|0.200000|0.0091
1.26705|0.4|20|0.000000|0.0041
1.26138|0.4|20|0.000000|0.0046
1.50474|0|200|0.400000|0.0061
1.27404|0.4|20|0.000000|0.0051
1.27613|0.4|20|0.000000|0.0056
1.37001|0|340|0.200000|0.0056
1.26494|0.4|20|0.000000|0.0061
1.26305|0.4|20|0.000000|0.0066
1.37417|0|280|0.200000|0.0096
1.50401|0|200|0.400000|0.0066
1.27339|0.4|20|0.000000|0.0071
1.29247|0.4|20|0.000000|0.0076
1.28925|0.4|20|0.000000|0.0081
1.28223|0.4|20|0.000000|0.0086
1.30132|0.4|20|0.000000|0.0091
1.50318|0|200|0.400000|0.0071
1.37098|0|340|0.200000|0.0061
1.32429|0.4|20|0.000000|0.0096
1.54071|0.4|20|0.200000|0.0001
1.28156|0.4|20|0.200000|0.0006
1.2504|0.4|20|0.200000|0.0011
1.50228|0|200|0.400000|0.0076
1.24187|0.4|20|0.200000|0.0016
1.24634|0.4|20|0.200000|0.0021
1.37178|0|340|0.200000|0.0066
1.25573|0.4|20|0.200000|0.0026
1.25572|0.4|20|0.200000|0.0031
1.26318|0.4|20|0.200000|0.0036
1.46236|0|280|0.400000|0.0001
1.50137|0|200|0.400000|0.0081
1.26462|0.4|20|0.200000|0.0041
1.27295|0.4|20|0.200000|0.0046
1.2769|0.4|20|0.200000|0.0051
1.27933|0.4|20|0.200000|0.0056
1.28534|0.4|20|0.200000|0.0061
1.37242|0|340|0.200000|0.0071
1.50045|0|200|0.400000|0.0086
1.29279|0.4|20|0.200000|0.0066
1.48342|0|280|0.400000|0.0006
1.2936|0.4|20|0.200000|0.0071
1.29915|0.4|20|0.200000|0.0076
1.3026|0.4|20|0.200000|0.0081
1.31255|0.4|20|0.200000|0.0086
1.49957|0|200|0.400000|0.0091
1.3215|0.4|20|0.200000|0.0091
1.31521|0.4|20|0.200000|0.0096
1.37294|0|340|0.200000|0.0076
1.48986|0|280|0.400000|0.0011
1.69304|0.4|20|0.400000|0.0001
1.49871|0|200|0.400000|0.0096
1.30029|0.4|20|0.400000|0.0006
1.27556|0.4|20|0.400000|0.0011
1.28627|0.4|20|0.400000|0.0016
1.29776|0.4|20|0.400000|0.0021
1.49268|0|280|0.400000|0.0016
1.30396|0.4|20|0.400000|0.0026
1.37336|0|340|0.200000|0.0081
1.30683|0.4|20|0.400000|0.0031
1.31531|0.4|20|0.400000|0.0036
1.31983|0.4|20|0.400000|0.0041
